t	RE_E	IM_E	RE_P	IM_P	Alpha
0	4.196877537916312e-06	-9.981736049153306e-06	0.04157610600131369	0.11335144427509752	7596.867309518613
1	3.4126730432421414e-06	-1.0462431861701222e-05	-0.0869733278082569	0.08058050650002314	-5242.868400300079
2	2.5984786889205965e-06	-1.088665714138227e-05	-0.11269236331128041	-0.05060711125608169	-10843.21460332729
3	1.7604680514873321e-06	-1.1253178577737156e-05	-0.004609185846520876	-0.13019165260981413	-2166.4930184615414
4	9.050297537961183e-07	-1.1561432121629342e-05	0.11378663840566741	-0.06563165102158097	9340.301936399592
5	3.8719056447919727e-08	-1.1811551952053216e-05	0.10518903845169054	0.07015269789320122	8924.980503763458
6	-8.317921029929704e-07	-1.2004396026267e-05	-0.022774280148463846	0.12070554361620932	-2581.4924216173094
7	-1.699766245125297e-06	-1.2141568142980562e-05	-0.12416803534106914	0.025903565564098258	-10323.044729097644
8	-2.5584522688091467e-06	-1.2225436486790197e-05	-0.08159417792791063	-0.10695692927179981	-4640.050486058037
9	-3.4011377584156834e-06	-1.225914865725442e-05	0.057438679408263874	-0.12481327840658385	6973.279800994157
10	-4.221201275292468e-06	-1.2246643229557221e-05	0.1329685428485569	-0.005364631802408794	9839.542305075433
11	-5.012164228024425e-06	-1.2192657929616366e-05	0.056063423396817004	0.11505341194348595	615.110420304486
12	-5.767741916896565e-06	-1.2102734549222495e-05	-0.08705864755029472	0.09685344869456586	-8969.87991055376
13	-6.481893352218592e-06	-1.198322076575589e-05	-0.13209146089236448	-0.0411881476320443	-7089.521478640174
14	-7.1488694528109155e-06	-1.1841269071706512e-05	-0.025691876089016838	-0.1411375260258504	3683.577299522482
15	-7.76325924168823e-06	-1.1684833058872975e-05	0.11093875714512039	-0.0865941559434468	10002.634921042063
16	-8.320033668675561e-06	-1.1522661340633567e-05	0.11961297737646914	0.061786980862357975	4278.281237073421
17	-8.814586706248886e-06	-1.1364289433530479e-05	-0.01218471039270641	0.1336467090170921	-6364.753130990785
18	-9.242773383736003e-06	-1.1220029957394681e-05	-0.13437355461895342	0.04447378976539501	-9079.856355999696
19	-9.600944446784338e-06	-1.110096154499589e-05	-0.10544421406591348	-0.10504020233356635	-752.2743060369413
20	-9.885977353233647e-06	-1.1018916890575739e-05	0.043425249626768365	-0.14255576584449844	8614.237894003847
21	-1.0095303343420907e-05	-1.098647039195702e-05	0.1415634624386359	-0.022586894171909726	8010.614101945674
22	-1.02269303515447e-05	-1.1016925876056205e-05	0.07421252907070819	0.11859712238245684	-1749.3616131622816
23	-1.0279461555885215e-05	-1.1124304919042542e-05	-0.08348882631191622	0.11775536439374801	-9324.558926506174
24	-1.0252109398150374e-05	-1.1323336299975116e-05	-0.15027449076774532	-0.026585897540126517	-6124.740499083993
25	-1.0144704936527835e-05	-1.1629447146380823e-05	-0.04700178172253186	-0.1495775834069925	4076.3329947311563
26	-9.957702432328779e-06	-1.2058756349248078e-05	0.10978246368114669	-0.10820767400272027	9818.64200118546
27	-9.692179106786287e-06	-1.262807083904423e-05	0.13945656503877663	0.05248595419259374	4942.115018370999
28	-9.349830041542921e-06	-1.3354885329129646e-05	0.005601239125706099	0.1482176344080357	-4932.8160375347625
29	-8.932958234157636e-06	-1.4257386137418683e-05	-0.1391236573848761	0.0665969695812074	-9108.843551386692
30	-8.444459857668159e-06	-1.5354459707802226e-05	-0.1265254923488215	-0.10121101658550713	-3543.3748218902183
31	-7.887804810958275e-06	-1.6665706450678854e-05	0.0323387872426622	-0.1624369745018968	5354.166833637517
32	-7.2670126838951025e-06	-1.8211460522954798e-05	0.1566162733946063	-0.04440796560394339	8257.994177905539
33	-6.58662429761353e-06	-2.0012816163668256e-05	0.10223281221026523	0.11885142417123386	2845.5664695440387
34	-5.851669016038863e-06	-2.2091661190697217e-05	-0.07024689001874837	0.13812815064184947	-4518.907074253255
35	-5.067628058656201e-06	-2.447071825688421e-05	-0.16192033557616853	-0.01252277955948116	-6243.179244747612
36	-4.2403940774537205e-06	-2.7173594445418473e-05	-0.06364163473107746	-0.162489820927333	-1375.4250206528334
37	-3.376227291465306e-06	-3.0224839769361743e-05	0.11554072014452917	-0.1387316790284068	4281.996753580277
38	-2.481708501321393e-06	-3.3650015118644887e-05	0.17059475161393875	0.03341521050806065	4969.41295356023
39	-1.5636893324406863e-06	-3.747577017422406e-05	0.03656616498463449	0.15562497211887175	801.061432665742
40	-6.292400792970826e-07	-4.172993178306599e-05	-0.13315617064511553	0.08327194546337277	-3220.2607793387792
41	3.1440445547541124e-07	-4.6441603258905847e-05	-0.14042574035628383	-0.10556815459390236	-3038.955304672948
42	1.2599007156422252e-06	-5.1641275041932374e-05	0.028518252415732977	-0.19616000831825567	459.29126615325407
43	2.1998533125706753e-06	-5.7360947117603244e-05	0.18319494705665668	-0.08362560930158205	3133.202763094014
44	3.1268726746242733e-06	-6.363426355959999e-05	0.14577346139325245	0.10288705525325714	2364.5411731653962
45	4.033632977588142e-06	-7.04966595233846e-05	-0.04208531306915222	0.14516266409241582	-477.6007982177497
46	4.912929904071763e-06	-7.798552097977877e-05	-0.16284907844715643	-0.012538050666817915	-2090.0299727118527
47	5.757737778238284e-06	-8.614035743561126e-05	-0.07198545812463472	-0.19517224740828282	-982.7313017654374
48	6.561265624247342e-06	-9.500298784985131e-05	0.1324731428523239	-0.1952174294740915	1246.548381187626
