  n             f1                  f2                  f3                  f4                  f5       
  0              1.500000         1.50000e+00            1.500000            1.500000            1.500000
  1              1.286954        -8.75000e-01            0.816497            1.348400            1.373333
  2              1.402541         6.73242e+00            2.996909            1.367376            1.365262
  3              1.345458        -4.69720e+02            0.000000            1.364957            1.365230
  4              1.375170         1.02755e+08            0.000000            1.365265            1.365230
  5              1.360094        -1.08493e+24            0.000000            1.365226            1.365230
  6              1.367847         0.00000e+00            0.000000            1.365231            0.000000
  7              1.363887         0.00000e+00            0.000000            1.365230            0.000000
  8              1.365917         0.00000e+00            0.000000            0.000000            0.000000
  9              1.364878         0.00000e+00            0.000000            0.000000            0.000000
 10              1.365410         0.00000e+00            0.000000            0.000000            0.000000
 11              1.365138         0.00000e+00            0.000000            0.000000            0.000000
 12              1.365277         0.00000e+00            0.000000            0.000000            0.000000
 13              1.365206         0.00000e+00            0.000000            0.000000            0.000000
 14              1.365242         0.00000e+00            0.000000            0.000000            0.000000
 15              1.365224         0.00000e+00            0.000000            0.000000            0.000000
 16              1.365233         0.00000e+00            0.000000            0.000000            0.000000
 17              1.365228         0.00000e+00            0.000000            0.000000            0.000000
 18              0.000000         0.00000e+00            0.000000            0.000000            0.000000
