n  ,an                  ,bn                  ,cn                  ,f(cn)
0 ,       0.5        ,       1.5        ,       1.0        ,-0.03465572639472014
1 ,       1.0        ,       1.5        ,       1.25       ,1.4099763523963584
2 ,       1.0        ,       1.25       ,      1.125       ,0.6090797474207078
3 ,       1.0        ,      1.125       ,      1.0625      ,0.26698228759820786
4 ,       1.0        ,      1.0625      ,     1.03125      ,0.11114776427469586
5 ,       1.0        ,     1.03125      ,     1.015625     ,0.03700287464700669
6 ,       1.0        ,     1.015625     ,    1.0078125     ,0.000864425201642538
7 ,       1.0        ,    1.0078125     ,    1.00390625    ,-0.016972716146164468
8 ,    1.00390625    ,    1.0078125     ,   1.005859375    ,-0.008073440303855262
9 ,   1.005859375    ,    1.0078125     ,   1.0068359375   ,-0.003609334751098703
10,   1.0068359375   ,    1.0078125     ,  1.00732421875   ,-0.0013736620072321015
11,  1.00732421875   ,    1.0078125     ,  1.007568359375  ,-0.00025492026473217244
12,  1.007568359375  ,    1.0078125     , 1.0076904296875  ,0.00030467699626013367
13,  1.007568359375  , 1.0076904296875  , 1.00762939453125 ,2.4859498552909365e-05
14,  1.007568359375  , 1.00762939453125 ,1.007598876953125 ,-0.00011503509978794124
15,1.007598876953125 , 1.00762939453125 ,1.0076141357421875,-4.508897980493032e-05
16,1.0076141357421875, 1.00762939453125 ,1.0076217651367188,-1.011503542469594e-05
17,1.0076217651367188, 1.00762939453125 ,1.0076255798339844,7.372157864060647e-06
18,1.0076217651367188,1.0076255798339844,1.0076236724853516,-1.3714572045797624e-06
19,1.0076236724853516,1.0076255798339844,1.007624626159668 ,3.00034572375818e-06
