n |       fx1        |           fx2           |       fx3        |       fx4        |       fx5        
0 |1.5               |1.5                      |1.5               |1.5               |1.5               
1 |1.286953767623375 |-0.875                   |0.8164965809277263|1.348399724926484 |1.3733333333333333
2 |0.0               |0.0                      |0.0               |0.0               |0.0               
3 |0.0               |0.0                      |0.0               |0.0               |0.0               
4 |0.0               |0.0                      |0.0               |0.0               |0.0               
5 |0.0               |0.0                      |0.0               |0.0               |0.0               
6 |0.0               |0.0                      |0.0               |0.0               |0.0               
7 |0.0               |0.0                      |0.0               |0.0               |0.0               
8 |0.0               |0.0                      |0.0               |0.0               |0.0               
9 |0.0               |0.0                      |0.0               |0.0               |0.0               
10|0.0               |0.0                      |0.0               |0.0               |0.0               
11|0.0               |0.0                      |0.0               |0.0               |0.0               
12|0.0               |0.0                      |0.0               |0.0               |0.0               
13|0.0               |0.0                      |0.0               |0.0               |0.0               
14|0.0               |0.0                      |0.0               |0.0               |0.0               
15|0.0               |0.0                      |0.0               |0.0               |0.0               
16|0.0               |0.0                      |0.0               |0.0               |0.0               
17|0.0               |0.0                      |0.0               |0.0               |0.0               
18|0.0               |0.0                      |0.0               |0.0               |0.0               
19|0.0               |0.0                      |0.0               |0.0               |0.0               
